usuario,estrelas,sentimento,comentario,comentario_limpo,cronologia,data_avaliacao,ano,periodo
Beatriz Cezar,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943653,2022,pandemia
Julia Martinez,5,positivo,"Ambiente saudável, tranquilo, onde podemos ler e estudar.",ambiente saudável tranquilo onde podemos ler estudar,3 anos atrás,2022-10-29 17:06:31.943668,2022,pandemia
Rosana,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943675,2022,pandemia
Nailson De Oliveira,5,positivo,"Muito boa essa biblioteca, gostei muito!👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",boa biblioteca gostei muito👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,3 anos atrás,2022-10-29 17:06:31.943681,2022,pandemia
Rodolfo Vieira da Silva,5,positivo,"Minha primeira visita e ponto de vista.Local amplo confortável, atendimento excelente equipe nota 10.",primeira visita ponto vistalocal amplo confortável atendimento excelente equipe nota 10,3 anos atrás,2022-10-29 17:06:31.943688,2022,pandemia
José Windey Danta dos Santos,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943695,2022,pandemia
Bruno Sorrentino,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943702,2022,pandemia
Julia Facundo,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943709,2022,pandemia
Sônia Sonia,5,positivo,Maravilhoso toda vez que sou bem atendida,maravilhoso toda vez bem atendida,Editado 3 anos atrás,2022-10-29 17:06:31.943715,2022,pandemia
Valdir Da saúde,5,positivo,Ótimo pra leituras,ótimo pra leituras,3 anos atrás,2022-10-29 17:06:31.943725,2022,pandemia
Gi Almeida,5,positivo,"Lugar maravilhoso, tranquilo, organizando, limpo. Amamos ficar lá. Eu e meus filhos voltaremos sempre ❤️",lugar maravilhoso tranquilo organizando limpo amamos ficar lá filhos voltaremos sempre ❤️,3 anos atrás,2022-10-29 17:06:31.943732,2022,pandemia
Eleasar Lima,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943739,2022,pandemia
Gislaine Alonso,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943746,2022,pandemia
Daniel Almeida,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943752,2022,pandemia
Paulo Augusto,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943759,2022,pandemia
Marina Santos,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943766,2022,pandemia
Izaias Carlos,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943772,2022,pandemia
Gabriel Vicente,5,positivo,"Muito bommm, eu amo esse lugar, tem guarda-volume (opcional) uma infinidade de libros, filmes, os computadores são muito bons.Em alguns horários tem história para as crianças e outras atividades. Tem jogos de tabuleiro, cartas e etc, para poder jogar lá, uma ótima estrutura, funcionários atenciosos. Vou voltar mais vezes aqui.",bommm amo lugar guardavolume opcional infinidade libros filmes computadores bonsem alguns horários história crianças outras atividades jogos tabuleiro cartas etc poder jogar lá ótima estrutura funcionários atenciosos vou voltar vezes aqui,3 anos atrás,2022-10-29 17:06:31.943780,2022,pandemia
Kah Mia,5,positivo,Bem confortável,bem confortável,3 anos atrás,2022-10-29 17:06:31.944549,2022,pandemia
ッSaicksyy,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944572,2022,pandemia
João Almeida,5,positivo,"Ótimo lugar para descansar, passar o tempo, ler e estudar, ao lado de um parque bem amplo, recomendo.",ótimo lugar descansar passar tempo ler estudar lado parque bem amplo recomendo,3 anos atrás,2022-10-29 17:06:31.944586,2022,pandemia
Vitor Hugo,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944599,2022,pandemia
Gabriel Pereira,3,neutro,"O lugar é confortável, ótimos livros e gibis. Porém as pessoas fazem muito barulho e não há controle disso pelos funcionários.",lugar confortável ótimos livros gibis porém pessoas fazem barulho controle disso funcionários,3 anos atrás,2022-10-29 17:06:31.944611,2022,pandemia
Sélly Müller,5,positivo,"Um paraíso nessa selva de pedra, ótimo ambiente, lugares aconchegantes para ler e pode levar para casa, se tiver cadastro.",paraíso nessa selva pedra ótimo ambiente lugares aconchegantes ler pode levar casa cadastro,3 anos atrás,2022-10-29 17:06:31.944623,2022,pandemia
Bruno Gonçalves Turri,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944644,2022,pandemia
Jc M,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944658,2022,pandemia
Nelson Gonçalves,5,positivo,Amo ter um tempo pra ir  Biblioteca São Paulo fazer em novos Livros e aproveito a oportunidade de pesquisar na internet e assistir inúmeros vídeos e treinamento no YouTube em todas as áreas da vida. O atendimento do pessoal daqui é nota... Dez é pouco vou dar nota 1000. Poeta Nelson Gonçalves 17.06.22,amo ter tempo pra ir biblioteca paulo fazer novos livros aproveito oportunidade pesquisar internet assistir inúmeros vídeos treinamento youtube todas áreas vida atendimento pessoal daqui nota dez pouco vou dar nota 1000 poeta nelson gonçalves 170622,3 anos atrás,2022-10-29 17:06:31.944670,2022,pandemia
Janderson Fernandes,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944682,2022,pandemia
Michele Andrade,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944693,2022,pandemia
Ariany Souza,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944704,2022,pandemia
Larissa Bertini,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944715,2022,pandemia
Arthur Hudson,5,positivo,Uma das bibliotecas mais bonitas de São Paulo.,bibliotecas bonitas paulo,3 anos atrás,2022-10-29 17:06:31.944727,2022,pandemia
Barão Vermelho,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944739,2022,pandemia
Victor,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944750,2022,pandemia
Nathália Britto,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944761,2022,pandemia
Beatriz Bazilio,5,positivo,"Vasta quantidade de livros diversificados, ambiente limpo, organizado e funcionários bem educados!!!",vasta quantidade livros diversificados ambiente limpo organizado funcionários bem educados,3 anos atrás,2022-10-29 17:06:31.944773,2022,pandemia
Joabe Santos,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944836,2022,pandemia
Edu,3,neutro,"Olha, seria 5 estrelas se não tivesse tanto coisa para fazer login nos computadores, de resto acho muito bom",olha 5 estrelas tanto coisa fazer login computadores resto acho bom,3 anos atrás,2022-10-29 17:06:31.944852,2022,pandemia
Nadine Bechara,5,positivo,"O espaço é muito agradável, cheio de luz e ventilado, os funcionários muito educados e prestativos. Ótimo espaço para estudar, trabalhar, ler um livro...",espaço agradável cheio luz ventilado funcionários educados prestativos ótimo espaço estudar trabalhar ler livro,3 anos atrás,2022-10-29 17:06:31.944881,2022,pandemia
Ana Paula Felix,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944894,2022,pandemia
Emerson Batista,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944904,2022,pandemia
Davex,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944914,2022,pandemia
Leandro Santos,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944924,2022,pandemia
Ricardo santos,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944934,2022,pandemia
Thaisa Moreira,5,positivo,"Conheci hoje a Biblioteca de São Paulo e fiquei encantada com o espaço e também com o acervo. Embora fiquei apenas na área infantil por estar com crianças, deu pra ver que a área de adultos também é bem completa em relação a quantidade de obras disponíveis e com um espaço muito agradável para leitura.No ambiente infantil além de muitos livros, tem brinquedos, mesinhas e cadeirinhas, espaços fechados com puffs para uma leitura aconchegante e ping-pong em uma das áreas externas.Tem várias “ilhas de puffs” espalhadas pela biblioteca, área de computadores e também setor gamer.Local possui banheiros, e trocador para bebês.A biblioteca é bem arejada e limpa, e o atendimento é de primeira.Para visitar e ler livros no local basta apresentar o comprovante de vacinação contra covid, e da pra acessar um computador do local com login do poupa tempo pra apresentar o comprovante.Possui também wi-fi livre.Para levar livros é necessário realizar o cadastro com um documento original com foto.Tem muitos eventos dentro da biblioteca que acontecem sempre, como por exemplo a leitura para bebês e crianças a partir de 06 meses que acontece todo sábado e domingo às 11H, não precisa realizar inscrição.E a Biblioteca conta também com outras atividades no decorrer do mês, e também atividades on-line. Tudo gratuito!Vale a pena conhecer.O acesso a ela é bem fácil, fica dentro do parque da juventude em frente à estação Carandiru - metrô e tem um estacionamento privado ao lado do local para quem vem de veículo particular.",conheci hoje biblioteca paulo fiquei encantada espaço acervo embora fiquei apenas área infantil crianças deu pra ver área adultos bem completa relação quantidade obras disponíveis espaço agradável leiturano ambiente infantil além muitos livros brinquedos mesinhas cadeirinhas espaços fechados puffs leitura aconchegante pingpong áreas externastem várias “ilhas puffs” espalhadas biblioteca área computadores setor gamerlocal possui banheiros trocador bebêsa biblioteca bem arejada limpa atendimento primeirapara visitar ler livros local basta apresentar comprovante vacinação contra covid pra acessar computador local login poupa tempo pra apresentar comprovantepossui wifi livrepara levar livros necessário realizar cadastro documento original fototem muitos eventos dentro biblioteca acontecem sempre exemplo leitura bebês crianças partir 06 meses acontece todo sábado domingo 11h precisa realizar inscriçãoe biblioteca conta outras atividades decorrer mês atividades online tudo gratuitovale pena conhecero acesso bem fácil fica dentro parque juventude frente estação carandiru metrô estacionamento privado lado local vem veículo particular,3 anos atrás,2022-10-29 17:06:31.944945,2022,pandemia
João Rodrigues,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.944955,2022,pandemia
FamiliaPig Games,5,positivo,"Tudo muito lindo l, lugar incrível para o final de semana com a família",tudo lindo l lugar incrível final semana família,3 anos atrás,2022-10-29 17:06:31.944965,2022,pandemia
Jean Silva,5,positivo,Os funcionários são muito atenciosos com o pessoal que frequenta a biblioteca,funcionários atenciosos pessoal frequenta biblioteca,3 anos atrás,2022-10-29 17:06:31.945011,2022,pandemia
Sileine Seixas,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945023,2022,pandemia
Angellbueno Bueno,5,positivo,"Lugar excepcional , ambiente perfeito para ler , acessar a internetMuito agradável !",lugar excepcional ambiente perfeito ler acessar internetmuito agradável,3 anos atrás,2022-10-29 17:06:31.945033,2022,pandemia
João Lucas,5,positivo,Lugar lindo e bem agradavel,lugar lindo bem agradavel,3 anos atrás,2022-10-29 17:06:31.945044,2022,pandemia
Guilherme Diogo,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945054,2022,pandemia
Djalma Ribeiro,5,positivo,Por tudo que Ela é de Bom para Nós da Zona Norte!!!,tudo bom zona norte,3 anos atrás,2022-10-29 17:06:31.945064,2022,pandemia
Analua2810,5,positivo,"Essa Biblioteca e um luxo. Digo um luxo, porque proporciona abertura de horizontes porque livros proporcionam abertura de horizontes. Alem disso, ha todos os eventos e cursos que sao promovidos pela biblioteca.So achei que o acervo, no Pos pandemia esta um pouco defasado. Acredito que muitos usuarios nao pensam no seu semelhante e nao devolvem as obras.O que amo tambem e a localizaçao, dentro de um parque, melhor, o nosso parque.",biblioteca luxo digo luxo porque proporciona abertura horizontes porque livros proporcionam abertura horizontes alem disso ha todos eventos cursos sao promovidos bibliotecaso achei acervo pos pandemia pouco defasado acredito muitos usuarios nao pensam semelhante nao devolvem obraso amo tambem localizaçao dentro parque melhor parque,3 anos atrás,2022-10-29 17:06:31.945075,2022,pandemia
Tais Silva,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945086,2022,pandemia
Nobre cozinha Dos Ambrósio'S Restaurante,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945095,2022,pandemia
Hugo Pereira Rafael,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945106,2022,pandemia
Felipe Santos Siqueira,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945139,2022,pandemia
Lusimar,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945149,2022,pandemia
Mony,5,positivo,Meu filho de dois anos e eu tivemos uma experiência maravilhosa. Pretendemos voltar muitas vezes.,filho dois anos experiência maravilhosa pretendemos voltar muitas vezes,3 anos atrás,2022-10-29 17:06:31.945160,2022,pandemia
Nicolas Ferrari,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945170,2022,pandemia
Bheatrys Candido,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945181,2022,pandemia
Joselita Santos,1,negativo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945216,2022,pandemia
Emely Rocha,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945227,2022,pandemia
RITA Silva,3,neutro,"Gostei muito do espaço,  da disposicaodos livros, o pessoal da entrada tanto no guarda volumes quanto recepção são muito educados. Mas vale uma ressalva a população que frequenta... biblioteca é local de silêncio,  de estudos... deveriam ter mais respeito com quem se encontra desenvolvendo atividades... deveriam colocar as plaquinhas de SILÊNCIO.",gostei espaço disposicaodos livros pessoal entrada tanto guarda volumes quanto recepção educados vale ressalva população frequenta biblioteca local silêncio estudos deveriam ter respeito encontra desenvolvendo atividades deveriam colocar plaquinhas silêncio,3 anos atrás,2022-10-29 17:06:31.945250,2022,pandemia
Edson Pereira,4,positivo,Não tem wifi,wifi,3 anos atrás,2022-10-29 17:06:31.945446,2022,pandemia
gabby neris,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945456,2022,pandemia
Ana Carolina Mauad,5,positivo,"Encantada!!!!O lugar é lindo, os funcionários atenciosos e felizes, vale muito ressaltar o FELIZES.Pq era domingo e todos estavam sorrindo e sendo receptivos.O acesso é facilitado e há uma excelente oferta de publicações.Além da atenção a área infantil.Foi uma ótima experiência!!!",encantadao lugar lindo funcionários atenciosos felizes vale ressaltar felizespq domingo todos sorrindo sendo receptivoso acesso facilitado excelente oferta publicaçõesalém atenção área infantilfoi ótima experiência,3 anos atrás,2022-10-29 17:06:31.945463,2022,pandemia
Katia Nagatomo,5,positivo,"Biblioteca com grande variedade, super organizada,  ambiente agradabilíssimo",biblioteca grande variedade super organizada ambiente agradabilíssimo,3 anos atrás,2022-10-29 17:06:31.945470,2022,pandemia
Taymara Bezerra,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945476,2022,pandemia
Farley henrique Mendes da silva,5,positivo,"Excelente ambiente, ótimo atendimento, muitas variedades e bem confortável o lugar",excelente ambiente ótimo atendimento muitas variedades bem confortável lugar,3 anos atrás,2022-10-29 17:06:31.945483,2022,pandemia
Heloisa Santos S.,5,positivo,"Eu gosto muito de ir lá, porém o foco da biblioteca é a literatura, as outras sessões são menores.",gosto ir lá porém foco biblioteca literatura outras sessões menores,3 anos atrás,2022-10-29 17:06:31.945490,2022,pandemia
DinoArt,2,negativo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945496,2022,pandemia
Sileide Monteiro,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945503,2022,pandemia
Lorena Caliman,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945510,2022,pandemia
Keila Pitta Stefanelli,5,positivo,"Sempre gostei de frequentar bibliotecas, desde os tempos de escola. Amo leitura, e nada melhor do que uma biblioteca...",sempre gostei frequentar bibliotecas desde tempos escola amo leitura nada melhor biblioteca,3 anos atrás,2022-10-29 17:06:31.945516,2022,pandemia
Felipe Costa,5,positivo,"O espaço é maravilhoso. Amplo. Adaptado para atrair crianças, jovens e adultos. Vasto acervo literário de áreas diversas. O atendimento é cordial. Exigem comprovante de vacinação para o ingresso no espaço.",espaço maravilhoso amplo adaptado atrair crianças jovens adultos vasto acervo literário áreas diversas atendimento cordial exigem comprovante vacinação ingresso espaço,3 anos atrás,2022-10-29 17:06:31.945523,2022,pandemia
Gabriel Nunes Souza de Oliveira,2,negativo,CURTA EU FICARIA MAIS TEMPO SE EU ESTIVESSE COM UMA TURMA OU EU ME INTURMASSE .,curta ficaria tempo turma inturmasse,3 anos atrás,2022-10-29 17:06:31.945530,2022,pandemia
Avaliador 4.0 Local,5,positivo,"Ótimo lugar para estudar e ficar em paz algumas horas de sua vida! É necessário apresentar a carteira de vacinação atualizada, por favor levem! Tem acesso ao lado do metrô, bicicletas para alugar, quadras de tênis, basquete, vôlei, futebol e espaço próximo para levar seu animal. 🐱🐶🐰🦮🐕‍🦺🐕🚈🚌 Faltou só uma capela para rezar.",ótimo lugar estudar ficar paz algumas horas vida necessário apresentar carteira vacinação atualizada favor levem acesso lado metrô bicicletas alugar quadras tênis basquete vôlei futebol espaço próximo levar animal 🐱🐶🐰🦮🐕‍🦺🐕🚈🚌 faltou capela rezar,3 anos atrás,2022-10-29 17:06:31.945537,2022,pandemia
Irene Lacerda,5,positivo,Muito boa,boa,3 anos atrás,2022-10-29 17:06:31.945543,2022,pandemia
Beatriz Napoleão,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945550,2022,pandemia
Lorrana Lima da Silva Mendes,2,negativo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945556,2022,pandemia
Thiago Giancoli Berto,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945563,2022,pandemia
Dilsinho Aventur,5,positivo,Muito bom ótimo lugar pra se obter conhecimento e cultura deveriam existir mais lugares assim...,bom ótimo lugar pra obter conhecimento cultura deveriam existir lugares assim,Editado 3 anos atrás,2022-10-29 17:06:31.945569,2022,pandemia
Carlos Yoshihiro Ishikawa,4,positivo,É lugar fantástico devemos.prestigiar.uma coisa que incomoda.Ao redor da biblioteca pessoa deixa muito sem segurança. Ter mais polícia,lugar fantástico devemosprestigiaruma coisa incomodaao redor biblioteca pessoa deixa segurança ter polícia,3 anos atrás,2022-10-29 17:06:31.945578,2022,pandemia
JHONY JAVIER JARA ALFONSO,5,positivo,otimo,otimo,3 anos atrás,2022-10-29 17:06:31.945585,2022,pandemia
Danielle Gomes,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945591,2022,pandemia
Fabyane Gonçalves,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945598,2022,pandemia
Leonardo Rodrigues,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945605,2022,pandemia
Deh Abrahel,5,positivo,Otimo lugar,otimo lugar,3 anos atrás,2022-10-29 17:06:31.945611,2022,pandemia
eric rocha,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945618,2022,pandemia
Rafael Ribeiro Teixeira,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945627,2022,pandemia
Cristiano Gomes,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945634,2022,pandemia
Guilherme Moreira,5,positivo,"Excelente lugar, ótimo espaço para ler, relaxar e tomar um suco de laranja.",excelente lugar ótimo espaço ler relaxar tomar suco laranja,3 anos atrás,2022-10-29 17:06:31.945641,2022,pandemia
Dani,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945648,2022,pandemia
Isa Marques,5,positivo,"Amo a biblioteca. A área externa recentemente restaurada do piso térreo está incrível. Um ótimo lugar para trabalhar, ler, estudar, passar o tempo e se divertir.",amo biblioteca área externa recentemente restaurada piso térreo incrível ótimo lugar trabalhar ler estudar passar tempo divertir,3 anos atrás,2022-10-29 17:06:31.945654,2022,pandemia
Simone Rodrigues,5,positivo,Excelente lugar,excelente lugar,3 anos atrás,2022-10-29 17:06:31.945661,2022,pandemia
Samantha Cristina De Araujo,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945668,2022,pandemia
Jose Augusto Barros de Lima Augusto,4,positivo,Muito bom,bom,3 anos atrás,2022-10-29 17:06:31.945674,2022,pandemia
Camila Caroline,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945681,2022,pandemia
K. Araújo,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945687,2022,pandemia
Emma Sakamoto,5,positivo,Lugar delicioso!,lugar delicioso,3 anos atrás,2022-10-29 17:06:31.945694,2022,pandemia
Samir Fares Jubara,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945700,2022,pandemia
Gabrielle Pereira,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945707,2022,pandemia
Milka Mota,5,positivo,Lugar ótimo para uma leitura de qualidade,lugar ótimo leitura qualidade,3 anos atrás,2022-10-29 17:06:31.945714,2022,pandemia
Tulio Lima,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945720,2022,pandemia
Bruna Lima,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945727,2022,pandemia
Lathara Sousa,4,positivo,Muito boa e completa.,boa completa,3 anos atrás,2022-10-29 17:06:31.945733,2022,pandemia
Sandra Correa,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945740,2022,pandemia
Joselia Pereira felix,5,positivo,"Um lugar super agradável para relaxar,ler e refletir sobre variados temas  da sua vida.",lugar super agradável relaxarler refletir sobre variados temas vida,3 anos atrás,2022-10-29 17:06:31.945747,2022,pandemia
TD3GHOST Leozin,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945753,2022,pandemia
Netto Balboa,5,positivo,"É um local muito agradável e importante para região da zona norte aqui da capital de São Paulo.Gosto muito de ir tem um excelente acervo de livro de diversos títulos,temas, livros, revistas,livros em braile e áudio.A única coisa que se deve tomar cuidado é com o contorno que é uma área aberta devido o parque da juventude e tem diversas todo tipo de pessoas que podem causar al tipo de transtornoTem metrô ao lado que é a estação Carandiru.",local agradável importante região zona norte aqui capital paulogosto ir excelente acervo livro diversos títulostemas livros revistaslivros braile áudioa única coisa deve tomar cuidado contorno área aberta devido parque juventude diversas todo tipo pessoas podem causar al tipo transtornotem metrô lado estação carandiru,3 anos atrás,2022-10-29 17:06:31.945760,2022,pandemia
Gabriel Flaquer,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945766,2022,pandemia
Sergio Monteiro,5,positivo,Lugar maravilhoso.,lugar maravilhoso,3 anos atrás,2022-10-29 17:06:31.945773,2022,pandemia
Mallukets,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945779,2022,pandemia
Ed naldo,5,positivo,Lugar agradável com wi-fi e computadores pra usar. Poderia ter em mais lugares !,lugar agradável wifi computadores pra usar poderia ter lugares,3 anos atrás,2022-10-29 17:06:31.945806,2022,pandemia
Carol Roseno,5,positivo,"Um excelente espaço para leitura, funcionários bem atenciosos, tranquilo e confortável. Amei o lugar.",excelente espaço leitura funcionários bem atenciosos tranquilo confortável amei lugar,3 anos atrás,2022-10-29 17:06:31.945818,2022,pandemia
Patricia Barbosa,5,positivo,"Uma das mais bonitas bibliotecas da cidade de São Paulo voltou com suas atividades presenciais. Com a exigência de máscara, o público volta a frequentar a biblioteca e suas diversas atividades. Um belo espaço arquitetônico que garante o distanciamento social entre os frequentadores.  Atividades ao ar livre, no auditório e dentro da biblioteca para todas as idades.  Banheiro muito limpo e a atenção dos funcionários garantem o bem estar de quem gosta de leitura.",bonitas bibliotecas cidade paulo voltou atividades presenciais exigência máscara público volta frequentar biblioteca diversas atividades belo espaço arquitetônico garante distanciamento social frequentadores atividades ar livre auditório dentro biblioteca todas idades banheiro limpo atenção funcionários garantem bem gosta leitura,3 anos atrás,2022-10-29 17:06:31.945826,2022,pandemia
Alessandro Marques,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945832,2022,pandemia
Edson Siqueira,5,positivo,"Local organizado , funcionários atencioso , limpeza nota 1000",local organizado funcionários atencioso limpeza nota 1000,3 anos atrás,2022-10-29 17:06:31.945839,2022,pandemia
Gabriel Souza,5,positivo,Ótimo lugar para domir,ótimo lugar domir,3 anos atrás,2022-10-29 17:06:31.945846,2022,pandemia
Gustavo Sperandio,5,positivo,"The please is clean, organized, and very nice to study/work. The environment is so silent.",the please is clean organized and very nice to studywork the environment is so silent,3 anos atrás,2022-10-29 17:06:31.945852,2022,pandemia
Lavinia Kethilyn,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945859,2022,pandemia
Rubens Barros Jr.,5,positivo,Ótima,ótima,3 anos atrás,2022-10-29 17:06:31.945866,2022,pandemia
Lígia Lima,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945880,2022,pandemia
Juliana Correia,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945887,2022,pandemia
Sandro Calixto,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945894,2022,pandemia
Teco Vila Maria,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945900,2022,pandemia
paulo souza,5,positivo,Fantástica,fantástica,3 anos atrás,2022-10-29 17:06:31.945907,2022,pandemia
Wanice Emilia,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945914,2022,pandemia
Rodrigues ZK,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945920,2022,pandemia
Ivania Oliveira,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945927,2022,pandemia
Valéria Oliveira Demaria,5,positivo,"Boa conexão de internet, computadores e espaço para games. Local amplo e bem iluminado, com 2 decks super gostosos, cercado por natureza. Variedade de livros, mesas pra estudo. Equipe atenciosa.Só elogios!",boa conexão internet computadores espaço games local amplo bem iluminado 2 decks super gostosos cercado natureza variedade livros mesas pra estudo equipe atenciosasó elogios,3 anos atrás,2022-10-29 17:06:31.945934,2022,pandemia
Adriane Sueli,5,positivo,E um ótimo lugar,ótimo lugar,3 anos atrás,2022-10-29 17:06:31.945940,2022,pandemia
Eliette Passos Martins,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945947,2022,pandemia
Roseli Goncalves,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945954,2022,pandemia
Sidnei Yashiro,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945960,2022,pandemia
CASTELO,5,positivo,Excelente lugar!,excelente lugar,3 anos atrás,2022-10-29 17:06:31.945967,2022,pandemia
Luis Ricardo Costa Bácaro,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945974,2022,pandemia
Dolores Carvalho,5,positivo,"A biblioteca mais nota 10 de SP. Acervo, atendimento, organização, limpeza. Ainda conta com uma tenda externa onde geralmente tem eventos voltado ao público infantil. Recomendo à todos.",biblioteca nota 10 sp acervo atendimento organização limpeza ainda conta tenda externa onde geralmente eventos voltado público infantil recomendo todos,3 anos atrás,2022-10-29 17:06:31.945980,2022,pandemia
